contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
Advent International,18700,425,18275,0,0,0,Leans Republican,Defense Electronics
Marotta Controls,18462,16300,2162,0,0,0,Leans Democrat,Defense Electronics
Prime Inc,536564,1090,533631,0,0,0,Leans Republican,Trucking
Wb Transport,406275,339975,66300,0,0,0,Leans Democrat,Trucking
Centra Inc,293686,6930,286681,0,75,0,Leans Republican,Trucking
DAVISON TRANSPORT,269600,0,219600,0,50000,0,Leans Republican,Trucking
American Trucking Assns,251621,94526,152095,0,0,0,Leans Republican,Trucking
Select Dedicated Solutions,190719,46300,94419,0,50000,0,Leans Republican,Trucking
NFI Industries,124653,1867,46856,0,33800,42000,Leans Republican,Trucking
Anderson Trucking Service,116013,0,116013,0,0,0,Leans Republican,Trucking
Shelby Transport,108160,0,106314,0,3349,0,Leans Republican,Trucking
Oshkosh Corp,106303,25077,80858,0,0,0,Leans Republican,Trucking
Schneider National,83099,24720,58083,0,0,0,Leans Republican,Trucking
Old Dominion Freight Line,71210,2025,69185,0,0,0,Leans Republican,Trucking
Fast Trac Transportation,62800,0,62800,0,0,0,Leans Republican,Trucking
Crete Carrier Corp,61239,889,59954,0,0,0,Leans Republican,Trucking
JB Hunt Transport Services,59751,42248,11361,0,0,0,Leans Democrat,Trucking
Dart Transit,58617,100,58514,0,0,0,Leans Republican,Trucking
Werner Enterprises,57142,5135,51583,0,0,0,Leans Republican,Trucking
Ledwell & Son Enterprises,56600,0,56600,0,0,0,Leans Republican,Trucking
Truck Renting & Leasing Assn,50753,7500,41253,0,0,0,Leans Republican,Trucking
Fleet Trailer (Colorado),50000,0,0,0,50000,0,Leans Conservative,Trucking
Federated Indians Of Graton Rancheria,1192595,992595,0,141466,0,0,Leans Democrat,"Casinos , Gambling"
Valmore Gp,1176800,0,676800,0,500000,0,Leans Republican,"Casinos , Gambling"
Poarch Band of Creek Indians,1060839,290400,270439,0,500000,0,Leans Conservative,"Casinos , Gambling"
Puyallup Tribe Of Indians,879662,581469,45206,250000,0,0,Leans Democrat,"Casinos , Gambling"
SAN PABLO LYTTON CASINO,745526,95526,0,650000,0,0,Leans Liberal,"Casinos , Gambling"
Agua Caliente Band Of Cahuilla Indians,604490,299290,205200,100000,0,0,Leans Democrat,"Casinos , Gambling"
Nevada Restaurant Services,500000,0,500000,0,0,0,Leans Republican,"Casinos , Gambling"
Shakopee Mdewakanton Sioux Community,499700,347550,150500,25000,0,0,Leans Democrat,"Casinos , Gambling"
Chickasaw Nation,466569,283822,182621,10000,0,0,Leans Democrat,"Casinos , Gambling"
San Manuel Band of Mission Indians,452803,170583,96635,0,0,185052,On the fence,"Casinos , Gambling"
Morongo Band of Mission Indians,452161,246961,205200,0,0,0,Leans Democrat,"Casinos , Gambling"
Pechanga Band of Luiseno Mission Indians,415100,211200,203900,0,0,0,Leans Democrat,"Casinos , Gambling"
Wynn Resorts,393063,16578,376485,0,0,0,Leans Republican,"Casinos , Gambling"
Santa Ynez Band of Chumash Indians,377545,212645,164900,32400,0,0,Leans Democrat,"Casinos , Gambling"
Ak-Chin Indian Community,354410,218410,136000,0,0,0,Leans Democrat,"Casinos , Gambling"
Sycuan Band of the Kumeyaay Nation,317000,201900,115100,59800,5000,0,Leans Democrat,"Casinos , Gambling"
Cherokee Nation,291681,167815,123866,10000,0,0,Leans Democrat,"Casinos , Gambling"
Ysleta Del Sur Pueblo,253050,123040,105000,0,25000,0,Leans Democrat,"Casinos , Gambling"
Tunica-Biloxi Tribe of Louisiana,246464,243164,3300,0,0,0,Leans Democrat,"Casinos , Gambling"
Salt River Pima-Maricopa Indians,234456,181856,52600,0,0,0,Leans Democrat,"Casinos , Gambling"
McDonald's Corp,482281,267023,207895,900,650,0,Leans Democrat,Restaurants & Drinking Establishments
Fast Food Systems,321900,0,86900,0,235000,0,Leans Conservative,Restaurants & Drinking Establishments
National Restaurant Assn,318314,87625,223189,10000,0,0,Leans Republican,Restaurants & Drinking Establishments
Bobby Cox Companies,317386,0,317386,0,0,0,Leans Republican,Restaurants & Drinking Establishments
Pere Antoine,253300,0,253300,0,0,0,Leans Republican,Restaurants & Drinking Establishments
Roark Capital Group,199442,106544,87226,0,0,0,Leans Democrat,Restaurants & Drinking Establishments
Pappas Restaurants,140932,161,140771,0,0,0,Leans Republican,Restaurants & Drinking Establishments
Waffle House Inc,136048,4127,106903,0,25000,0,Leans Republican,Restaurants & Drinking Establishments
Hpcp Investments,125000,0,125000,0,10000,0,Leans Republican,Restaurants & Drinking Establishments
Landry'S Restaurants,124925,6725,113200,0,66950,0,Leans Republican,Restaurants & Drinking Establishments
Union Square Hospitality Group,119546,109536,0,10000,0,0,Leans Democrat,Restaurants & Drinking Establishments
Phil's BBQ,112900,0,12900,0,100000,0,Leans Conservative,Restaurants & Drinking Establishments
Association of KFC Franchisees,111900,5000,106900,0,0,0,Leans Republican,Restaurants & Drinking Establishments
Mack Ii Inc,101234,101234,0,0,0,0,Leans Democrat,Restaurants & Drinking Establishments
BurgerBusters Inc,90600,0,90600,0,0,0,Leans Republican,Restaurants & Drinking Establishments
Starbucks Corp,89517,72432,10138,3420,0,315,Leans Democrat,Restaurants & Drinking Establishments
Jimmy John'S,86892,670,85992,150,0,0,Leans Republican,Restaurants & Drinking Establishments
Metro Corral Partners,77082,0,15282,0,61800,0,Leans Conservative,Restaurants & Drinking Establishments
Lettuce Entertain You,64681,57011,6320,1350,0,0,Leans Democrat,Restaurants & Drinking Establishments
B&G Food Enterprises,55700,0,45700,0,10000,0,Leans Republican,Restaurants & Drinking Establishments
Tepper Sports & Entertainment,2287062,0,37062,0,2250000,0,Leans Conservative,"Professional Sports, Sports Arenas & Related Equipment & Services"
Wasserman Media Group,587425,587325,100,20000,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Tampa Bay Buccaneers,454400,0,454400,0,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
National Football League,326924,170319,155330,250,0,6871,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Arizona Diamondbacks,238899,153,138746,0,100000,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Cleveland Browns,227925,1125,226800,0,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Haslam Sports Group,175251,151,87600,0,87500,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Major League Baseball,136776,76078,60000,300,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Detroit Pistons,112691,112601,0,0,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Arizona Cardinals,91182,682,53900,0,25000,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Monumental Sports & Entertainment,88466,53565,9901,0,25000,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
NASCAR,81693,12946,68247,0,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Milwaukee Bucks,79630,79630,0,0,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Houston Texans,70063,21,45042,0,25000,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Los Angeles Chargers,69502,5177,64325,0,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Eberg Capital,59035,59035,0,0,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Orlando Magic,58835,35,8800,0,50000,0,Leans Conservative,"Professional Sports, Sports Arenas & Related Equipment & Services"
Madison Square Garden,58209,1867,50306,6000,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Minnesota Wild,54954,30000,24954,0,0,0,Leans Democrat,"Professional Sports, Sports Arenas & Related Equipment & Services"
Silver Lake Partners,50301,16905,32300,0,0,0,Leans Republican,"Professional Sports, Sports Arenas & Related Equipment & Services"
Honor Nyc,762146,487146,0,275000,0,0,Leans Democrat,Clothing Manufacturing
Guess? Inc,500000,0,0,0,0,500000,On the fence,Clothing Manufacturing
One Step Up Ltd,233198,5000,78198,0,150000,0,Leans Conservative,Clothing Manufacturing
The Cause Collection,142900,142900,0,0,0,0,Leans Democrat,Clothing Manufacturing
Republic Clothing Group,110652,94,110558,0,0,0,Leans Republican,Clothing Manufacturing
Dreamwear Inc,102061,1061,1000,0,0,100000,On the fence,Clothing Manufacturing
Fashion Options,101000,0,1000,0,0,100000,On the fence,Clothing Manufacturing
Tom James Co,98036,41410,56626,0,0,0,Leans Republican,Clothing Manufacturing
Hanesbrands Inc,81593,2341,79197,0,25,0,Leans Republican,Clothing Manufacturing
Capri Holdings,81338,80700,137,333,0,0,Leans Democrat,Clothing Manufacturing
Graffiti Inc,63750,0,63750,0,0,0,Leans Republican,Clothing Manufacturing
Michael Stars Inc,59433,24428,5,35000,0,0,Leans Liberal,Clothing Manufacturing
Moda Operandi,53744,50125,0,3619,0,0,Leans Democrat,Clothing Manufacturing
Apparel Solutions,33000,33000,0,0,0,0,Leans Democrat,Clothing Manufacturing
Pvh Corp,31404,31149,60,0,0,0,Leans Democrat,Clothing Manufacturing
Vera Wang Group,26600,26600,0,0,0,0,Leans Democrat,Clothing Manufacturing
JCS Apparel,25026,1000,24026,0,0,0,Leans Republican,Clothing Manufacturing
In Mocean Group,22841,2020,10821,0,0,0,Leans Republican,Clothing Manufacturing
Eileen Fisher Inc,22475,22062,280,0,0,0,Leans Democrat,Clothing Manufacturing
Round House Manufacturing,19500,0,2000,0,17500,0,Leans Conservative,Clothing Manufacturing
US Government,1213955,850291,295579,35199,7795,510,Leans Democrat,Government Employees
State of California,1068034,899626,129888,23032,233,0,Leans Democrat,Government Employees
US Postal Service,812790,453114,318970,7764,1949,505,Leans Democrat,Government Employees
US Senate,480432,164860,239469,0,75000,0,Leans Republican,Government Employees
US House of Representatives,411184,310813,100033,0,0,0,Leans Democrat,Government Employees
US Dept of State,385144,318766,56585,6330,0,0,Leans Democrat,Government Employees
State of Illinois,384522,353546,26663,482,0,0,Leans Democrat,Government Employees
US Dept of Health & Human Services,357277,302194,39684,11261,0,0,Leans Democrat,Government Employees
US Dept of Veterans Affairs,321086,217763,90885,5132,108,300,Leans Democrat,Government Employees
Los Angeles County CA,308505,260269,33465,9714,500,0,Leans Democrat,Government Employees
US Dept of Energy,299822,189012,43068,3800,0,62100,Leans Democrat,Government Employees
City of New York NY,291131,198214,47366,36357,412,0,Leans Democrat,Government Employees
US Dept of Justice,275653,220306,49584,3000,180,215,Leans Democrat,Government Employees
US Dept of Housing & Urban Development,268437,112654,5189,150000,0,0,Leans Liberal,Government Employees
US Environmental Protection Agency,265972,256594,3392,4069,0,0,Leans Democrat,Government Employees
State of New York,254577,222059,22480,4083,0,0,Leans Democrat,Government Employees
Social Security Administration,227898,108813,112441,1954,0,0,Leans Republican,Government Employees
State of Michigan,220648,206166,9529,2952,0,0,Leans Democrat,Government Employees
US Dept of Agriculture,219134,186754,24861,3763,300,0,Leans Democrat,Government Employees
NASA,217291,156798,55434,2988,50,0,Leans Democrat,Government Employees
Union Pacific Corp,844360,229980,613487,16200,0,0,Leans Republican,Railroads
BNSF Railway,678886,290563,385913,749,0,0,Leans Republican,Railroads
CSX Corp,389621,147914,241451,0,0,0,Leans Republican,Railroads
Norfolk Southern,380425,177799,199156,650,0,0,Leans Republican,Railroads
Herzog,343500,53,93444,0,250000,0,Leans Conservative,Railroads
Herzog Railroad Services,250000,0,0,0,250000,0,Leans Conservative,Railroads
Midwest Railcar Repair,186000,0,186000,0,0,0,Leans Republican,Railroads
Trinity Industries,169381,22177,147186,0,0,0,Leans Republican,Railroads
Watco Companies,146210,2010,144200,0,0,0,Leans Republican,Railroads
Muller Bohlin & Assoc,58300,58300,0,0,0,0,Leans Democrat,Railroads
Herzog Technologies,50700,0,50700,0,0,0,Leans Republican,Railroads
Association of American Railroads,47150,21150,26000,0,0,0,Leans Republican,Railroads
Amtrak,42398,34205,5618,1194,0,0,Leans Democrat,Railroads
Genesee & Wyoming,42266,12726,29540,0,0,0,Leans Republican,Railroads
RJ Corman Railroad Group,36000,15000,21000,0,0,0,Leans Republican,Railroads
Greenbrier Companies,29514,19152,10335,0,0,0,Leans Democrat,Railroads
Alternate Concepts Inc,29000,29000,0,0,0,0,Leans Democrat,Railroads
Florida East Coast Industries,28926,3500,25426,0,0,0,Leans Republican,Railroads
Wabtec Corp,26464,4830,21560,0,0,0,Leans Republican,Railroads
American Short Line & Regional RR Assn,24800,6000,18800,0,0,0,Leans Republican,Railroads
Kirkland & Ellis,1896014,917466,766840,12500,50600,146042,Leans Democrat,"Attorneys,Law Firms"
Paul Weiss et al,1517845,1189727,158546,60050,105000,5000,Leans Democrat,"Attorneys,Law Firms"
Akin Gump et al,1453670,810936,603066,32663,0,0,Leans Democrat,"Attorneys,Law Firms"
Brownstein Hyatt et al,1446349,747538,679084,34916,0,0,Leans Democrat,"Attorneys,Law Firms"
American Assn for Justice,1199897,1176361,20001,0,0,0,Leans Democrat,"Attorneys,Law Firms"
Sullivan & Cromwell,814008,365916,424725,17740,5000,0,Leans Republican,"Attorneys,Law Firms"
Covington & Burling,778135,508721,84914,3750,1000,175000,Leans Democrat,"Attorneys,Law Firms"
Quinn Emanuel et al,751604,634275,91434,10600,15000,0,Leans Democrat,"Attorneys,Law Firms"
Holland & Knight,750414,404160,343064,2460,0,0,Leans Democrat,"Attorneys,Law Firms"
Singleton Schreiber et al,714090,414060,0,332430,0,0,Leans Democrat,"Attorneys,Law Firms"
Lieff Cabraser et al,665106,637906,0,36000,0,0,Leans Democrat,"Attorneys,Law Firms"
Latham & Watkins,647832,538289,54045,28697,0,35000,Leans Democrat,"Attorneys,Law Firms"
Cozen O'Connor,646846,418398,228267,0,0,0,Leans Democrat,"Attorneys,Law Firms"
Greenberg Traurig LLP,643632,445427,197308,370,0,0,Leans Democrat,"Attorneys,Law Firms"
Gibson Dunn & Crutcher,634160,492443,116239,0,0,25000,Leans Democrat,"Attorneys,Law Firms"
K&L Gates,607878,378944,226494,150,0,0,Leans Democrat,"Attorneys,Law Firms"
Williams Hart & Boundas,602920,601888,1032,0,0,0,Leans Democrat,"Attorneys,Law Firms"
Cotchett Pitre & McCarthy,584838,567588,0,137000,0,0,Leans Democrat,"Attorneys,Law Firms"
Clifford Law Offices,578009,564309,0,0,0,0,Leans Democrat,"Attorneys,Law Firms"
DLA Piper,573710,426970,141150,1500,0,0,Leans Democrat,"Attorneys,Law Firms"
American Israel Public Affairs Cmte,8275111,4995386,3173425,0,0,50000,Leans Democrat,Israel Policy
J Street,993447,979368,2,0,0,0,Leans Democrat,Israel Policy
Democratic Majority for Israel,455000,5000,0,450000,0,0,Leans Liberal,Israel Policy
NorPAC,342080,82265,243566,0,0,0,Leans Republican,Israel Policy
Republican Jewish Coalition,208049,0,208049,0,0,0,Leans Republican,Israel Policy
Joint Action Cmte for Political Affairs,119872,119872,0,0,0,0,Leans Democrat,Israel Policy
Citizens Organized PAC,66500,49000,12500,0,0,0,Leans Democrat,Israel Policy
Desert Caucus,60000,40000,20000,0,0,0,Leans Democrat,Israel Policy
Pro-Israel America PAC,46000,46000,0,0,0,0,Leans Democrat,Israel Policy
US Israel PAC,46000,5000,41000,0,0,0,Leans Republican,Israel Policy
SunPAC,36000,25500,10500,0,0,0,Leans Democrat,Israel Policy
Maryland Assn for Concerned Citizens,33500,23000,10500,0,0,0,Leans Democrat,Israel Policy
American Principles,29000,0,29000,0,0,0,Leans Republican,Israel Policy
REPUBLICAN JEWISH COALITION VICTORY FUND,25000,0,0,0,25000,0,Leans Conservative,Israel Policy
Louisianans for American Security,15500,2500,13000,0,0,0,Leans Republican,Israel Policy
To Protect Our Heritage PAC,15000,5000,10000,0,0,0,Leans Republican,Israel Policy
S Daniel Abraham Center for Middle East Peace,6600,6600,0,0,0,0,Leans Democrat,Israel Policy
Pfizer Inc,756310,410531,327140,41442,0,0,Leans Democrat,Pharmaceutical Manufacturing
Eli Lilly & Co,580280,216333,333301,950,25275,0,Leans Republican,Pharmaceutical Manufacturing
Merck & Co,533695,331978,192408,2545,0,0,Leans Democrat,Pharmaceutical Manufacturing
Bristol-Myers Squibb,461461,210607,246037,700,0,0,Leans Republican,Pharmaceutical Manufacturing
AstraZeneca PLC,374125,197022,175688,50000,0,0,Leans Democrat,Pharmaceutical Manufacturing
Pharmaceutical Research & Manufacturers of America,229192,104668,124524,50000,5000,0,Leans Republican,Pharmaceutical Manufacturing
Novo Nordisk,219424,118296,100222,24620,400,0,Leans Democrat,Pharmaceutical Manufacturing
GSK plc,218011,121237,93405,150,0,0,Leans Democrat,Pharmaceutical Manufacturing
Viatris Inc,197761,130261,67367,0,0,0,Leans Democrat,Pharmaceutical Manufacturing
Novartis Ag,197551,108679,82993,250,0,0,Leans Democrat,Pharmaceutical Manufacturing
Sanofi US,172784,51695,121089,0,0,0,Leans Republican,Pharmaceutical Manufacturing
Takeda Pharmaceutical Co,168967,80003,80805,0,0,0,Leans Republican,Pharmaceutical Manufacturing
Bayer Corp,160148,82486,77502,130,0,0,Leans Democrat,Pharmaceutical Manufacturing
Astellas Pharma,146134,66683,76862,0,0,0,Leans Republican,Pharmaceutical Manufacturing
Horizon Therapeutics,136841,64986,69355,10000,0,0,Leans Republican,Pharmaceutical Manufacturing
Ingenus Pharmaceuticals,111000,6000,5000,0,100000,0,Leans Conservative,Pharmaceutical Manufacturing
CH Boehringer Sohn,95652,53467,42020,0,0,0,Leans Democrat,Pharmaceutical Manufacturing
Pharmasphere Inc,88705,375,88330,0,0,0,Leans Republican,Pharmaceutical Manufacturing
Lundbeck Inc,70822,39322,30000,0,0,0,Leans Democrat,Pharmaceutical Manufacturing
Promontory Therapeutics,61075,31075,0,30000,0,0,Leans Democrat,Pharmaceutical Manufacturing
Scalise for Congress,5059000,0,5059000,0,0,0,Leans Republican,Candidate Committees
Mike Johnson for Louisiana,2862500,0,2862500,0,0,0,Leans Republican,Candidate Committees
Jeffries for Congress,1862026,1862026,0,0,0,0,Leans Democrat,Candidate Committees
Emmer for Congress,1420640,0,1420640,0,0,0,Leans Republican,Candidate Committees
Cathy McMorris Rodgers for Congress,1228057,0,1228057,0,0,0,Leans Republican,Candidate Committees
Nancy Pelosi for Congress,964536,964536,0,0,0,0,Leans Democrat,Candidate Committees
Pete Aguilar for Congress,856690,856690,0,0,0,0,Leans Democrat,Candidate Committees
Hudson for Congress,768050,0,768050,0,0,0,Leans Republican,Candidate Committees
Elise for Congress,718150,0,718150,0,0,0,Leans Republican,Candidate Committees
Guy for Congress,706500,0,706500,0,0,0,Leans Republican,Candidate Committees
McHenry for Congress,602680,0,602680,0,0,0,Leans Republican,Candidate Committees
Friends of Don Beyer,485314,485314,0,0,0,0,Leans Democrat,Candidate Committees
Friends of Glenn Thompson,470345,0,470345,0,0,0,Leans Republican,Candidate Committees
Nikki Haley for President,453634,0,453634,0,0,0,Leans Republican,Candidate Committees
Vivek 2024,452000,0,452000,0,0,0,Leans Republican,Candidate Committees
Ted Lieu for Congress,439451,439450,1,0,0,0,Leans Democrat,Candidate Committees
Donald J Trump for President 2024,432329,0,432329,0,0,0,Leans Republican,Candidate Committees
Marjorie Greene for Congress,407400,0,407400,0,0,0,Leans Republican,Candidate Committees
Chris Christie for President,395000,0,395000,0,0,0,Leans Republican,Candidate Committees
Katherine Clark for Congress,390000,390000,0,0,0,0,Leans Democrat,Candidate Committees
American Bankers Assn,1473948,547595,894493,0,24125,0,Leans Republican,Commercial Banks
Wells Fargo,1084152,522673,526572,6423,185,1410,Leans Republican,Commercial Banks
JPMorgan Chase & Co,1049470,613373,410247,3495,250,1695,Leans Democrat,Commercial Banks
Bank of America,921995,409425,489513,14955,210,0,Leans Republican,Commercial Banks
1st Financial Bank USA,905219,203674,626170,0,75000,0,Leans Republican,Commercial Banks
Woodforest Financial Group,635850,0,10850,0,625000,0,Leans Conservative,Commercial Banks
Independent Community Bankers of America,633250,272250,352000,0,2500,0,Leans Republican,Commercial Banks
Truist Financial,539882,292617,243191,1567,0,0,Leans Democrat,Commercial Banks
Citigroup Inc,506021,222402,262353,8757,0,0,Leans Republican,Commercial Banks
Citizens First Bank,473801,25,463776,0,10000,0,Leans Republican,Commercial Banks
PNC Financial Services,448034,98233,344566,2600,0,0,Leans Republican,Commercial Banks
Regions Financial,427845,151831,275796,0,0,0,Leans Republican,Commercial Banks
US Bancorp,400756,176498,219005,1150,0,0,Leans Republican,Commercial Banks
Arvest Bank Group,283697,4415,129254,0,150000,0,Leans Conservative,Commercial Banks
Xapo Bank,266599,13200,0,0,0,250000,On the fence,Commercial Banks
International Bancshares Corp,253300,0,3300,0,250000,0,Leans Conservative,Commercial Banks
Huntington Bancshares,236963,107421,124962,2048,0,0,Leans Republican,Commercial Banks
New York Private Bank & Trust,233411,0,233411,0,0,0,Leans Republican,Commercial Banks
TD Bank USA,223782,110895,100155,500,2000,0,Leans Democrat,Commercial Banks
Amalgamated Bank,191364,68481,49,122466,0,0,Leans Liberal,Commercial Banks
Bigelow Aerospace,20000560,60,0,0,20000500,0,Leans Conservative,Air Transport
Boeing Co,1882721,948357,899953,11445,1165,0,Leans Democrat,Air Transport
United Parcel Service,1304516,577784,699797,3914,1233,192,Leans Republican,Air Transport
FedEx Corp,1088868,397569,633597,5036,50,0,Leans Republican,Air Transport
Delta Air Lines,1022139,355628,585429,27286,456,0,Leans Republican,Air Transport
American Airlines Group,884802,380358,463731,4096,73,25,Leans Republican,Air Transport
SpaceX,657228,322613,330220,300,0,0,Leans Republican,Air Transport
United Airlines Holdings,650828,394651,209873,38216,150,0,Leans Democrat,Air Transport
Southwest Airlines,388749,154822,217664,2061,210,2805,Leans Republican,Air Transport
Gonsoulin Enterprises,383989,0,283989,0,100000,0,Leans Republican,Air Transport
Transdigm Group,289502,140656,148846,0,0,0,Leans Republican,Air Transport
Spiritjets,241904,0,8504,0,233400,0,Leans Conservative,Air Transport
Blue Origin,228267,146527,78807,0,0,0,Leans Democrat,Air Transport
Textron Inc,221727,69962,151337,0,300,0,Leans Republican,Air Transport
Aircraft Owners & Pilots Assn,160576,58707,99369,0,0,0,Leans Republican,Air Transport
Airbus Group,127456,34429,91851,1000,140,0,Leans Republican,Air Transport
Phi Inc,120416,226,120190,0,0,0,Leans Republican,Air Transport
Alaska Air Group,112829,67605,39812,1000,0,0,Leans Democrat,Air Transport
Jetblue Airways,107655,54352,52398,225,0,0,Leans Democrat,Air Transport
Federal Industries Inc (California),106695,95,6600,0,0,100000,On the fence,Air Transport
MDC Holdings,479271,21189,228067,0,130000,100000,Leans Republican,Residential Construction
National Assn of Home Builders,464525,103103,361422,0,0,0,Leans Republican,Residential Construction
ICI Homes,437165,0,37165,0,400000,0,Leans Conservative,Residential Construction
Spencer Enterprises,334591,5223,329043,250,0,0,Leans Republican,Residential Construction
Dream Finders Homes,321616,70,71545,0,250000,0,Leans Conservative,Residential Construction
Cassidy Organization,260396,0,260396,0,0,0,Leans Republican,Residential Construction
Intervest Construction of Jax,250000,0,0,0,250000,0,Leans Conservative,Residential Construction
Manufactured Housing Institute,199300,51500,147800,0,0,0,Leans Republican,Residential Construction
Medallion Homes,197425,0,197425,0,0,0,Leans Republican,Residential Construction
Thomas Faulkner Architects,189963,128411,0,60552,0,0,Leans Democrat,Residential Construction
Perry Homes,169083,6700,62383,0,100000,0,Leans Conservative,Residential Construction
Adamant Homes,146800,0,146800,0,0,0,Leans Republican,Residential Construction
AMD Homes,114650,112400,0,250,0,0,Leans Democrat,Residential Construction
Breckenridge Construction (Texas),100000,0,0,0,100000,0,Leans Conservative,Residential Construction
Grand Endeavor Homes,95076,0,20076,0,75000,0,Leans Conservative,Residential Construction
Medallion Homes Gulf Coast,77600,0,5800,0,71800,0,Leans Conservative,Residential Construction
Meritage Homes,76651,24791,20005,0,410,27410,On the fence,Residential Construction
Homes By Westbay,66909,0,16806,0,50000,0,Leans Conservative,Residential Construction
David Weekley Homes,60993,7305,53685,0,0,0,Leans Republican,Residential Construction
Hunt Building,60500,0,50500,0,10000,0,Leans Republican,Residential Construction
National Beer Wholesalers Assn,973000,477000,491000,0,0,0,Leans Republican,Alcoholic Beverages
Silver Eagle Beverages,854668,111,124557,0,730000,0,Leans Conservative,Alcoholic Beverages
Silver Eagle Distributors,689496,0,689496,0,0,0,Leans Republican,Alcoholic Beverages
Wine & Spirits Wholesalers of America,525694,223747,299447,0,0,0,Leans Republican,Alcoholic Beverages
Southern Glazer's Wine & Spirits,498799,268985,124157,5150,100000,0,Leans Democrat,Alcoholic Beverages
Total Wine & More,480436,476167,3399,195,0,0,Leans Democrat,Alcoholic Beverages
Brown-Forman Corp,444915,306204,136086,0,0,0,Leans Democrat,Alcoholic Beverages
Mira Winery,308496,0,58496,0,250000,0,Leans Conservative,Alcoholic Beverages
United Distributors,282575,14350,18225,0,100000,150000,On the fence,Alcoholic Beverages
Puma Springs Vineyards,271607,269607,0,2000,0,0,Leans Democrat,Alcoholic Beverages
Sunbelt Beverage,250000,0,0,250000,0,0,Leans Liberal,Alcoholic Beverages
Constellation Brands,248944,110123,123821,0,0,0,Leans Republican,Alcoholic Beverages
Breakthru Beverage Group,221253,120649,27551,0,0,55000,Leans Democrat,Alcoholic Beverages
Anheuser-Busch,208771,93879,113215,1650,0,0,Leans Republican,Alcoholic Beverages
Wine Institute,134869,85675,49194,28600,0,0,Leans Democrat,Alcoholic Beverages
Cavalier Distributing,133000,0,33000,0,100000,0,Leans Conservative,Alcoholic Beverages
Republic National Distributing,126630,18973,107496,0,0,0,Leans Republican,Alcoholic Beverages
Jackson Family Wines,124976,14332,110644,0,0,0,Leans Republican,Alcoholic Beverages
Jackson Family Enterprises,112250,45948,65302,1000,0,0,Leans Republican,Alcoholic Beverages
Magnolia Marketing,100400,19100,74700,0,0,0,Leans Republican,Alcoholic Beverages
American Society of Anesthesiologists,862201,443175,419026,0,0,0,Leans Democrat,Doctors & Other Health Professionals
American Assn of Orthopaedic Surgeons,834500,385500,449000,0,0,0,Leans Republican,Doctors & Other Health Professionals
American Optometric Assn,822900,377750,445150,0,0,0,Leans Republican,Doctors & Other Health Professionals
American Dental Assn,682536,326033,356075,32400,103,0,Leans Republican,Doctors & Other Health Professionals
American Academy of Dermatology Assn,584777,304593,280184,0,0,0,Leans Democrat,Doctors & Other Health Professionals
American College of Emergency Physicians,556901,298901,255000,0,0,0,Leans Democrat,Doctors & Other Health Professionals
Cooper House,546700,526700,0,20000,0,0,Leans Democrat,Doctors & Other Health Professionals
American Assn of Nurse Anesthesiology,428500,202000,226500,0,0,0,Leans Republican,Doctors & Other Health Professionals
American Osteopathic Information Assn,416000,135500,280500,0,0,0,Leans Republican,Doctors & Other Health Professionals
American College of Radiology,409435,191830,217005,600,0,0,Leans Republican,Doctors & Other Health Professionals
American Physical Therapy Assn,378500,182000,196500,0,0,0,Leans Republican,Doctors & Other Health Professionals
Heartland Dental Care,329881,2232,152255,150,175000,0,Leans Conservative,Doctors & Other Health Professionals
US Oncology,310941,138115,172826,0,0,0,Leans Republican,Doctors & Other Health Professionals
American Academy of Family Physicians,296800,158800,138000,0,0,0,Leans Democrat,Doctors & Other Health Professionals
American Academy of Ophthalmology,295173,129663,163000,0,0,0,Leans Republican,Doctors & Other Health Professionals
American Podiatric Medical Assn,290500,154500,136000,0,0,0,Leans Democrat,Doctors & Other Health Professionals
American Medical Assn,288134,176573,111522,32400,0,0,Leans Democrat,Doctors & Other Health Professionals
American College of Cardiology,286093,148553,137540,0,0,0,Leans Democrat,Doctors & Other Health Professionals
National Community Pharmacists Assn,269000,120500,146000,0,0,0,Leans Republican,Doctors & Other Health Professionals
